code|date|group|name|sell|buy|straight_purchase|sort
KR7000060004|20121010|00001|금융투자|1|10|10|1
KR7000060004|20121010|00002|보험|2|20|10|1
KR7000060004|20121010|00003|투신|3|30|10|2
KR7000060004|20121010|00004|사모|4|40|10|1
KR7000060004|20121010|00005|은행|5|50|10|2
KR7000060004|20121010|00006|기타금융|6|60|10|1
KR7000060004|20121010|00007|연.기금|7|70|10|2
KR7000060004|20121010|00008|국가.지자체|8|80|10|2
KR7000060004|20121010|00010|기타법인|9|90|10|2
KR7000060004|20121010|00011|개인|10|95|10|1
KR7000060004|20121010|00012|외국인|11|80|10|2
KR7000060004|20121010|00013|기타외국인|10|70|22|1
